g0_m,g1_m,g2_m,g3_m,g4_m,g5_m,g6_m,g7_m,g8_m,g0_s,g1_s,g2_s,g3_s,g4_s,g5_s,g6_s,g7_s,g8_s,label
7,4,1,2,3,7,3,5,3,0,0,0,2,2,2,2,2,2,0
5,5,1,2,4,7,3,4,3,0,0,0,2,2,2,2,2,2,0
6,5,1,2,4,7,3,4,3,0,0,0,2,2,2,2,2,2,0
8,2,1,1,3,7,3,4,3,0,0,0,2,2,2,2,2,2,0
15,7,1,2,4,7,2,5,3,0,0,0,2,2,2,2,1,2,0
9,5,1,2,3,6,3,5,2,0,0,0,2,2,2,2,2,2,0
6,5,2,2,3,7,3,5,2,0,0,0,2,2,2,2,1,2,0
11,4,1,2,2,7,3,5,2,0,0,0,2,2,2,2,2,2,0
8,5,2,3,3,6,3,4,2,0,0,0,2,3,2,2,1,2,0
4,2,1,2,3,7,3,4,3,0,0,0,2,3,2,2,1,2,0
6,3,1,2,2,6,3,4,3,0,0,0,2,3,1,2,1,2,0
6,3,1,2,2,6,3,4,3,0,0,0,2,3,1,3,2,2,0
5,7,1,2,2,7,3,4,3,0,0,0,2,3,1,2,2,2,0
10,5,2,3,4,6,4,5,2,0,0,0,2,3,2,3,2,2,0
7,5,1,3,3,7,3,4,2,0,0,0,2,3,2,3,2,2,0
8,6,2,2,3,6,4,4,2,0,0,0,2,3,2,2,2,2,0
10,5,1,3,3,6,3,5,3,0,0,0,2,3,2,2,2,2,0
10,4,1,3,2,6,3,5,3,0,0,0,2,3,2,2,2,2,0
15,5,1,2,3,6,3,4,3,0,0,0,2,3,2,2,2,2,0
7,4,1,2,2,7,3,4,3,0,0,0,2,3,2,3,2,2,0
14,8,1,2,3,7,3,5,3,0,0,0,2,3,2,3,2,2,0
6,7,1,2,3,7,3,5,2,0,0,0,2,3,2,2,2,2,0
4,5,2,3,3,6,3,4,3,0,0,0,2,3,2,2,2,2,0
4,3,1,2,2,6,4,4,3,0,0,0,2,3,2,2,2,2,0
8,5,1,2,2,6,3,4,3,0,0,0,2,3,2,2,2,2,0
5,7,1,3,3,7,3,4,3,0,0,0,2,3,2,2,2,1,0
5,1,0,2,3,6,3,4,3,0,0,0,2,3,2,2,2,1,0
9,4,2,2,2,6,3,5,2,0,0,0,2,3,2,2,2,1,0
8,5,1,2,4,7,3,5,2,0,0,0,2,3,2,2,2,1,0
